Reporting_Economy,ProductSector,Partner_Economy,2016,2017,2018,2019,2020,2021,2022
Kyrgyz Republic,SI3_AGG - TO - Total merchandise,World,1573,1764,1837,1986,1973,2752,2187
Kyrgyz Republic,SI3_AGG - AG - Agricultural products,World,169,246,239,300,280,359,
Kyrgyz Republic,SI3_AGG - AGFO - Food,World,145,212,196,255,243,312,
Kyrgyz Republic,SI3_AGG - MI - Fuels and mining products,World,143,304,422,396,273,353,
Kyrgyz Republic,SI3_AGG - MIFU - Fuels,World,49,87,139,120,82,100,
Kyrgyz Republic,SI3_AGG - MA - Manufactures,World,340,505,497,442,316,656,
Kyrgyz Republic,SI3_AGG - MAIS - Iron and steel,World,15,17,15,16,10,25,
Kyrgyz Republic,SI3_AGG - MACH - Chemicals,World,16,23,22,35,25,23,
Kyrgyz Republic,SI3_AGG - MACHPH - Pharmaceuticals,World,1,1,1,2,1,6,
Kyrgyz Republic,SI3_AGG - MAMT - Machinery and transport equipment,World,155,212,140,107,96,163,
Kyrgyz Republic,SI3_AGG - MAMTOF - Office and telecom equipment,World,5,4,5,4,5,61,
Kyrgyz Republic,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,4,1,1,1,4,4,
Kyrgyz Republic,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,2,1,2,1,56,
Kyrgyz Republic,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,1,3,1,0,0,
Kyrgyz Republic,SI3_AGG - MAMTTE - Transport equipment,World,107,149,85,65,53,65,
Kyrgyz Republic,SI3_AGG - MAMTAU - Automotive products,World,56,59,47,44,26,47,
Kyrgyz Republic,SI3_AGG - MATE - Textiles,World,4,5,4,11,4,16,
Kyrgyz Republic,SI3_AGG - MACL - Clothing,World,69,119,152,103,56,82,
Landlocked developing countries,SI3_AGG - TO - Total merchandise,World,140067,163451,192756,190576,168250,219932,279449
Lao People's Democratic Republic,SI3_AGG - TO - Total merchandise,World,4245,4873,5408,5806,6115,7695,7906
Lao People's Democratic Republic,SI3_AGG - AG - Agricultural products,World,1014,1208,1486,1851,1953,2105,
Lao People's Democratic Republic,SI3_AGG - AGFO - Food,World,917,1022,999,1313,1428,1474,
Lao People's Democratic Republic,SI3_AGG - MI - Fuels and mining products,World,1161,2497,2690,2467,1658,2372,
Lao People's Democratic Republic,SI3_AGG - MIFU - Fuels,World,601,1293,1410,1347,858,1647,
Lao People's Democratic Republic,SI3_AGG - MA - Manufactures,World,820,1027,1231,1299,1018,1726,
Lao People's Democratic Republic,SI3_AGG - MAIS - Iron and steel,World,4,1,0,2,7,24,
Lao People's Democratic Republic,SI3_AGG - MACH - Chemicals,World,177,168,253,312,251,264,
Lao People's Democratic Republic,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0,
Lao People's Democratic Republic,SI3_AGG - MAMT - Machinery and transport equipment,World,386,470,531,438,301,287,
Lao People's Democratic Republic,SI3_AGG - MAMTOF - Office and telecom equipment,World,314,383,444,346,228,213,
Lao People's Democratic Republic,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,5,25,30,21,18,34,
Lao People's Democratic Republic,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,308,357,413,325,210,179,
Lao People's Democratic Republic,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,1,0,0,0,0,
Lao People's Democratic Republic,SI3_AGG - MAMTTE - Transport equipment,World,30,28,21,11,7,8,
Lao People's Democratic Republic,SI3_AGG - MAMTAU - Automotive products,World,22,19,19,7,5,4,
Lao People's Democratic Republic,SI3_AGG - MATE - Textiles,World,2,6,9,11,10,11,
Lao People's Democratic Republic,SI3_AGG - MACL - Clothing,World,149,180,190,208,190,200,
Latvia,SI3_AGG - TO - Total merchandise,World,12294,14126,16166,15705,16337,20833,23885
Latvia,SI3_AGG - AG - Agricultural products,World,3711,4270,4886,5156,5395,6491,
Latvia,SI3_AGG - AGFO - Food,World,2323,2888,3056,3410,3685,3877,
Latvia,SI3_AGG - MI - Fuels and mining products,World,731,976,1144,973,855,1880,
Latvia,SI3_AGG - MIFU - Fuels,World,527,701,811,714,581,1367,
Latvia,SI3_AGG - MA - Manufactures,World,7635,8641,9951,9375,9850,12266,
Latvia,SI3_AGG - MAIS - Iron and steel,World,318,429,517,438,385,689,
Latvia,SI3_AGG - MACH - Chemicals,World,1110,1302,1460,1450,1529,2179,
Latvia,SI3_AGG - MACHPH - Pharmaceuticals,World,452,493,541,558,521,699,
Latvia,SI3_AGG - MAMT - Machinery and transport equipment,World,2953,3360,4000,3540,3851,4283,
Latvia,SI3_AGG - MAMTOF - Office and telecom equipment,World,1210,1197,1232,1246,1589,1645,
Latvia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,245,170,208,216,273,301,
Latvia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,923,988,992,985,1265,1201,
Latvia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,43,39,32,45,50,144,
Latvia,SI3_AGG - MAMTTE - Transport equipment,World,817,849,995,930,825,933,
Latvia,SI3_AGG - MAMTAU - Automotive products,World,581,651,767,726,610,755,
Latvia,SI3_AGG - MATE - Textiles,World,249,289,289,278,276,320,
Latvia,SI3_AGG - MACL - Clothing,World,238,256,275,308,299,333,
LDC exporters of agriculture,SI3_AGG - TO - Total merchandise,World,14793,16880,18879,19070,21152,24444,24268
LDC exporters of manufactures,SI3_AGG - TO - Total merchandise,World,49780,52727,58148,60089,55813,69972,84098
LDC non-fuel mineral exporters,SI3_AGG - TO - Total merchandise,World,34593,45842,55539,48317,56459,74098,83521
LDC oil exporters,SI3_AGG - TO - Total merchandise,World,46915,57464,66286,61985,44982,57966,77125
Least-developed countries,SI3_AGG - TO - Total merchandise,World,150454,179064,205998,197636,185121,235828,279381
Lebanese Republic,SI3_AGG - TO - Total merchandise,World,3930,4026,3830,4829,4085,4590,4370
Lebanese Republic,SI3_AGG - AG - Agricultural products,World,693,696,647,631,722,1019,
Lebanese Republic,SI3_AGG - AGFO - Food,World,681,687,637,622,709,1006,
Lebanese Republic,SI3_AGG - MI - Fuels and mining products,World,197,314,333,283,260,414,
Lebanese Republic,SI3_AGG - MIFU - Fuels,World,14,43,25,54,12,9,
Lebanese Republic,SI3_AGG - MA - Manufactures,World,1378,1400,1678,1674,1717,2308,
Lebanese Republic,SI3_AGG - MAIS - Iron and steel,World,7,7,7,7,10,18,
Lebanese Republic,SI3_AGG - MACH - Chemicals,World,387,422,498,477,395,426,
Lebanese Republic,SI3_AGG - MACHPH - Pharmaceuticals,World,54,53,57,58,49,41,
Lebanese Republic,SI3_AGG - MAMT - Machinery and transport equipment,World,351,338,342,409,512,572,
Lebanese Republic,SI3_AGG - MAMTOF - Office and telecom equipment,World,24,25,19,26,27,23,
Lebanese Republic,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,7,12,10,14,15,10,
Lebanese Republic,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,10,8,6,8,9,11,
Lebanese Republic,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,7,5,4,4,3,3,
Lebanese Republic,SI3_AGG - MAMTTE - Transport equipment,World,48,38,46,62,191,262,
Lebanese Republic,SI3_AGG - MAMTAU - Automotive products,World,14,16,16,13,137,234,
Lebanese Republic,SI3_AGG - MATE - Textiles,World,27,21,18,20,20,24,
Lebanese Republic,SI3_AGG - MACL - Clothing,World,57,46,35,30,33,26,
Lesotho,SI3_AGG - TO - Total merchandise,World,881,1028,1221,1063,888,1061,1117
Lesotho,SI3_AGG - AG - Agricultural products,World,64,68,28,49,83,111,
Lesotho,SI3_AGG - AGFO - Food,World,27,26,12,19,30,35,
Lesotho,SI3_AGG - MI - Fuels and mining products,World,2,3,10,2,2,4,
Lesotho,SI3_AGG - MIFU - Fuels,World,0,1,0,0,0,0,
Lesotho,SI3_AGG - MA - Manufactures,World,572,601,668,595,747,949,
Lesotho,SI3_AGG - MAIS - Iron and steel,World,2,0,0,0,0,0,
Lesotho,SI3_AGG - MACH - Chemicals,World,1,2,1,2,3,2,
Lesotho,SI3_AGG - MACHPH - Pharmaceuticals,World,1,1,0,0,1,0,
Lesotho,SI3_AGG - MAMT - Machinery and transport equipment,World,72,73,93,55,50,54,
Lesotho,SI3_AGG - MAMTOF - Office and telecom equipment,World,13,19,21,10,6,3,
Lesotho,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,5,0,0,0,
Lesotho,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,9,18,17,10,6,2,
Lesotho,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,1,0,0,0,0,
Lesotho,SI3_AGG - MAMTTE - Transport equipment,World,13,6,8,5,5,2,
Lesotho,SI3_AGG - MAMTAU - Automotive products,World,12,5,6,4,3,2,
Lesotho,SI3_AGG - MATE - Textiles,World,30,36,39,36,33,43,
Lesotho,SI3_AGG - MACL - Clothing,World,415,448,378,371,371,484,
Liberia,SI3_AGG - TO - Total merchandise,World,279,358,548,543,608,879,800
Libya,SI3_AGG - TO - Total merchandise,World,6764,18865,29830,27733,7354,28986,35697
Libya,SI3_AGG - AG - Agricultural products,World,63,63,60,38,32,41,
Libya,SI3_AGG - AGFO - Food,World,49,49,46,30,25,31,
Libya,SI3_AGG - MI - Fuels and mining products,World,6494,18183,28858,27507,6827,28404,
Libya,SI3_AGG - MIFU - Fuels,World,6223,15536,25386,24197,5711,27485,
Libya,SI3_AGG - MA - Manufactures,World,204,204,295,186,258,539,
Libya,SI3_AGG - MAIS - Iron and steel,World,76,76,138,103,183,262,
Libya,SI3_AGG - MACH - Chemicals,World,91,91,112,47,14,196,
Libya,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0,
Libya,SI3_AGG - MAMT - Machinery and transport equipment,World,30,30,29,25,60,28,
Libya,SI3_AGG - MAMTOF - Office and telecom equipment,World,0,0,0,13,21,20,
Libya,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,0,1,1,
Libya,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,0,0,0,0,0,
Libya,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,13,20,19,
Libya,SI3_AGG - MAMTTE - Transport equipment,World,15,15,2,2,17,4,
Libya,SI3_AGG - MAMTAU - Automotive products,World,15,15,2,1,1,1,
Libya,SI3_AGG - MATE - Textiles,World,1,1,0,1,0,1,
Libya,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,0,
Lithuania,SI3_AGG - TO - Total merchandise,World,25010,29901,33337,33151,32852,40706,46340
Lithuania,SI3_AGG - AG - Agricultural products,World,5408,6000,6524,6744,7572,8037,
Lithuania,SI3_AGG - AGFO - Food,World,4582,5152,5482,5750,6601,6746,
Lithuania,SI3_AGG - MI - Fuels and mining products,World,3831,4939,5663,5120,3100,5446,
Lithuania,SI3_AGG - MIFU - Fuels,World,3514,4429,5030,4492,2387,4247,
Lithuania,SI3_AGG - MA - Manufactures,World,15747,18589,20876,21073,21838,27126,
Lithuania,SI3_AGG - MAIS - Iron and steel,World,272,361,413,354,364,576,
Lithuania,SI3_AGG - MACH - Chemicals,World,3822,4291,5039,5068,5775,8010,
Lithuania,SI3_AGG - MACHPH - Pharmaceuticals,World,801,796,854,902,998,1079,
Lithuania,SI3_AGG - MAMT - Machinery and transport equipment,World,4742,6247,6769,7011,6899,7937,
Lithuania,SI3_AGG - MAMTOF - Office and telecom equipment,World,960,1186,1148,1143,1295,1482,
Lithuania,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,338,375,402,492,494,515,
Lithuania,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,576,758,688,577,737,894,
Lithuania,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,46,54,58,74,63,74,
Lithuania,SI3_AGG - MAMTTE - Transport equipment,World,1220,1568,1684,1981,1822,2388,
Lithuania,SI3_AGG - MAMTAU - Automotive products,World,815,1159,1162,1426,1260,1657,
Lithuania,SI3_AGG - MATE - Textiles,World,567,642,708,699,738,791,
Lithuania,SI3_AGG - MACL - Clothing,World,705,724,731,664,569,659,
Luxembourg,SI3_AGG - TO - Total merchandise,World,15796,15761,16412,16451,13839,16800,17420
Luxembourg,SI3_AGG - AG - Agricultural products,World,1446,1575,1684,1539,1537,1694,
Luxembourg,SI3_AGG - AGFO - Food,World,1209,1307,1454,1342,1341,1523,
Luxembourg,SI3_AGG - MI - Fuels and mining products,World,686,879,780,677,641,899,
Luxembourg,SI3_AGG - MIFU - Fuels,World,8,12,15,14,11,26,
Luxembourg,SI3_AGG - MA - Manufactures,World,13294,12761,13538,13880,11395,13696,
Luxembourg,SI3_AGG - MAIS - Iron and steel,World,2004,2210,2603,2288,1795,2461,
Luxembourg,SI3_AGG - MACH - Chemicals,World,1754,1872,1994,1778,1771,2104,
Luxembourg,SI3_AGG - MACHPH - Pharmaceuticals,World,360,383,317,155,151,185,
Luxembourg,SI3_AGG - MAMT - Machinery and transport equipment,World,5204,4195,4540,5912,3979,4624,
Luxembourg,SI3_AGG - MAMTOF - Office and telecom equipment,World,1909,569,611,1913,267,314,
Luxembourg,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,486,238,90,114,97,125,
Luxembourg,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1356,244,407,1720,110,135,
Luxembourg,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,66,87,114,79,60,54,
Luxembourg,SI3_AGG - MAMTTE - Transport equipment,World,1238,1278,1310,1419,1344,1626,
Luxembourg,SI3_AGG - MAMTAU - Automotive products,World,816,897,929,975,959,1077,
Luxembourg,SI3_AGG - MATE - Textiles,World,571,548,602,594,592,642,
Luxembourg,SI3_AGG - MACL - Clothing,World,125,52,49,62,75,81,
"Macao, China",SI3_AGG - TO - Total merchandise,World,1257,1406,1510,1586,1353,1620,1677
"Macao, China",SI3_AGG - AG - Agricultural products,World,29,170,157,53,37,68,
"Macao, China",SI3_AGG - AGFO - Food,World,28,169,156,51,37,67,
"Macao, China",SI3_AGG - MI - Fuels and mining products,World,8,18,19,9,13,27,
"Macao, China",SI3_AGG - MIFU - Fuels,World,0,0,0,0,0,0,
"Macao, China",SI3_AGG - MA - Manufactures,World,441,799,942,928,943,1284,
"Macao, China",SI3_AGG - MAIS - Iron and steel,World,0,1,1,1,0,2,
"Macao, China",SI3_AGG - MACH - Chemicals,World,8,40,62,52,54,58,
"Macao, China",SI3_AGG - MACHPH - Pharmaceuticals,World,0,14,5,2,0,0,
"Macao, China",SI3_AGG - MAMT - Machinery and transport equipment,World,153,213,338,304,223,355,
"Macao, China",SI3_AGG - MAMTOF - Office and telecom equipment,World,38,31,31,247,202,307,
"Macao, China",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,7,10,9,50,93,84,
"Macao, China",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,30,12,11,194,106,181,
"Macao, China",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,9,12,2,4,42,
"Macao, China",SI3_AGG - MAMTTE - Transport equipment,World,8,10,9,10,2,9,
"Macao, China",SI3_AGG - MAMTAU - Automotive products,World,8,9,8,10,2,5,
"Macao, China",SI3_AGG - MATE - Textiles,World,0,6,6,2,6,1,
"Macao, China",SI3_AGG - MACL - Clothing,World,28,109,78,100,174,217,
Madagascar,SI3_AGG - TO - Total merchandise,World,2254,2848,3110,2696,2026,2726,3609
Madagascar,SI3_AGG - AG - Agricultural products,World,917,1338,1388,1035,937,1091,
Madagascar,SI3_AGG - AGFO - Food,World,869,1275,1327,974,881,1044,
Madagascar,SI3_AGG - MI - Fuels and mining products,World,621,670,849,807,361,869,
Madagascar,SI3_AGG - MIFU - Fuels,World,58,46,73,79,19,15,
Madagascar,SI3_AGG - MA - Manufactures,World,701,753,793,755,589,743,
Madagascar,SI3_AGG - MAIS - Iron and steel,World,0,0,0,1,0,0,
Madagascar,SI3_AGG - MACH - Chemicals,World,60,65,104,81,83,111,
Madagascar,SI3_AGG - MACHPH - Pharmaceuticals,World,0,1,1,0,4,6,
Madagascar,SI3_AGG - MAMT - Machinery and transport equipment,World,34,31,40,24,15,17,
Madagascar,SI3_AGG - MAMTOF - Office and telecom equipment,World,3,2,2,2,2,1,
Madagascar,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,0,1,0,1,0,
Madagascar,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,1,1,1,1,1,
Madagascar,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,1,1,0,0,0,
Madagascar,SI3_AGG - MAMTTE - Transport equipment,World,9,8,8,10,5,7,
Madagascar,SI3_AGG - MAMTAU - Automotive products,World,3,1,2,1,2,1,
Madagascar,SI3_AGG - MATE - Textiles,World,50,44,44,43,25,25,
Madagascar,SI3_AGG - MACL - Clothing,World,469,529,501,496,395,491,
Malawi,SI3_AGG - TO - Total merchandise,World,1022,884,880,913,781,1007,945
Malawi,SI3_AGG - AG - Agricultural products,World,877,807,817,848,712,929,
Malawi,SI3_AGG - AGFO - Food,World,856,793,805,838,705,920,
Malawi,SI3_AGG - MI - Fuels and mining products,World,10,2,5,3,5,8,
Malawi,SI3_AGG - MIFU - Fuels,World,0,1,1,0,1,0,
Malawi,SI3_AGG - MA - Manufactures,World,135,73,58,61,48,69,
Malawi,SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,1,2,
Malawi,SI3_AGG - MACH - Chemicals,World,14,11,9,13,12,9,
Malawi,SI3_AGG - MACHPH - Pharmaceuticals,World,8,0,0,0,0,0,
Malawi,SI3_AGG - MAMT - Machinery and transport equipment,World,64,31,20,27,13,31,
Malawi,SI3_AGG - MAMTOF - Office and telecom equipment,World,28,4,0,3,1,4,
Malawi,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,24,4,0,3,0,0,
Malawi,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,3,1,0,0,1,0,
Malawi,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,3,
Malawi,SI3_AGG - MAMTTE - Transport equipment,World,14,11,6,9,5,15,
Malawi,SI3_AGG - MAMTAU - Automotive products,World,4,8,4,8,4,1,
Malawi,SI3_AGG - MATE - Textiles,World,1,4,3,4,6,6,
Malawi,SI3_AGG - MACL - Clothing,World,2,1,2,3,1,1,
Malaysia,SI3_AGG - TO - Total merchandise,World,189743,218130,247455,238195,234766,299425,352501
Malaysia,SI3_AGG - AG - Agricultural products,World,25544,28642,26793,26345,27237,36577,
Malaysia,SI3_AGG - AGFO - Food,World,21875,24011,22608,22264,23576,32287,
Malaysia,SI3_AGG - MI - Fuels and mining products,World,33823,42132,49586,43958,34847,51364,
Malaysia,SI3_AGG - MIFU - Fuels,World,26523,33537,38975,34685,26648,37246,
Malaysia,SI3_AGG - MA - Manufactures,World,128831,144988,170178,167889,171147,210309,
Malaysia,SI3_AGG - MAIS - Iron and steel,World,1642,2821,3627,5092,5397,7012,
Malaysia,SI3_AGG - MACH - Chemicals,World,14396,15101,18822,18628,16016,22726,
Malaysia,SI3_AGG - MACHPH - Pharmaceuticals,World,348,379,404,459,459,573,
Malaysia,SI3_AGG - MAMT - Machinery and transport equipment,World,81802,95825,112670,107890,110398,131468,
Malaysia,SI3_AGG - MAMTOF - Office and telecom equipment,World,57617,69483,83959,78951,83117,99606,
Malaysia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,12982,16392,16882,13057,12522,15110,
Malaysia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,9651,8444,8699,9070,8806,10655,
Malaysia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,34984,44647,58378,56824,61788,73840,
Malaysia,SI3_AGG - MAMTTE - Transport equipment,World,3670,4061,4938,5075,4742,4275,
Malaysia,SI3_AGG - MAMTAU - Automotive products,World,1578,1607,1853,1979,1690,1948,
Malaysia,SI3_AGG - MATE - Textiles,World,1671,1815,1931,1846,1630,2004,
Malaysia,SI3_AGG - MACL - Clothing,World,4568,5078,5813,5729,9901,14538,
Maldives,SI3_AGG - TO - Total merchandise,World,256,318,339,361,286,285,400
Maldives,SI3_AGG - AG - Agricultural products,World,138,196,178,154,135,144,
Maldives,SI3_AGG - AGFO - Food,World,138,196,178,154,135,144,
Maldives,SI3_AGG - MI - Fuels and mining products,World,2,3,3,3,1,6,
Maldives,SI3_AGG - MIFU - Fuels,World,0,0,0,0,0,0,
Maldives,SI3_AGG - MA - Manufactures,World,0,0,1,0,0,1,
Maldives,SI3_AGG - MAIS - Iron and steel,World,,0,,,,0,
Maldives,SI3_AGG - MACH - Chemicals,World,0,0,0,0,0,0,
Maldives,SI3_AGG - MACHPH - Pharmaceuticals,World,,,,,,0,
Maldives,SI3_AGG - MAMT - Machinery and transport equipment,World,0,0,1,0,0,0,
Maldives,SI3_AGG - MAMTOF - Office and telecom equipment,World,0,0,0,0,0,0,
Maldives,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,,,,0,
Maldives,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,,,,,,0,
Maldives,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,,0,0,0,0,0,
Maldives,SI3_AGG - MAMTTE - Transport equipment,World,,,0,0,0,0,
Maldives,SI3_AGG - MAMTAU - Automotive products,World,,,,,,0,
Maldives,SI3_AGG - MATE - Textiles,World,0,0,0,0,0,0,
Maldives,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,0,
Mali,SI3_AGG - TO - Total merchandise,World,2826,2896,3584,3675,4794,5015,5288
Mali,SI3_AGG - AG - Agricultural products,World,554,399,743,752,530,593,
Mali,SI3_AGG - AGFO - Food,World,278,249,260,317,245,240,
Mali,SI3_AGG - MI - Fuels and mining products,World,12,7,51,32,70,163,
Mali,SI3_AGG - MIFU - Fuels,World,8,0,45,27,47,64,
Mali,SI3_AGG - MA - Manufactures,World,237,242,182,201,61,77,
Mali,SI3_AGG - MAIS - Iron and steel,World,5,6,3,26,1,0,
Mali,SI3_AGG - MACH - Chemicals,World,115,112,89,76,8,7,
Mali,SI3_AGG - MACHPH - Pharmaceuticals,World,5,5,11,9,5,2,
Mali,SI3_AGG - MAMT - Machinery and transport equipment,World,92,98,56,64,38,52,
Mali,SI3_AGG - MAMTOF - Office and telecom equipment,World,2,1,1,3,12,14,
Mali,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,1,1,1,
Mali,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,1,1,3,6,5,
Mali,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,4,9,
Mali,SI3_AGG - MAMTTE - Transport equipment,World,49,71,20,26,10,18,
Mali,SI3_AGG - MAMTAU - Automotive products,World,31,13,17,16,8,3,
Mali,SI3_AGG - MATE - Textiles,World,3,3,3,2,1,1,
Mali,SI3_AGG - MACL - Clothing,World,2,0,1,0,1,1,
Malta,SI3_AGG - TO - Total merchandise,World,3186,2858,3192,3178,2837,3064,3180
Malta,SI3_AGG - AG - Agricultural products,World,299,342,442,355,340,326,
Malta,SI3_AGG - AGFO - Food,World,293,336,438,352,338,320,
Malta,SI3_AGG - MI - Fuels and mining products,World,274,499,501,438,100,331,
Malta,SI3_AGG - MIFU - Fuels,World,264,489,489,430,90,306,
Malta,SI3_AGG - MA - Manufactures,World,2585,1995,2236,2368,2238,2451,
Malta,SI3_AGG - MAIS - Iron and steel,World,1,27,1,6,0,0,
Malta,SI3_AGG - MACH - Chemicals,World,1032,383,426,462,529,653,
Malta,SI3_AGG - MACHPH - Pharmaceuticals,World,980,332,354,331,423,514,
Malta,SI3_AGG - MAMT - Machinery and transport equipment,World,1040,1058,1113,1133,1063,976,
Malta,SI3_AGG - MAMTOF - Office and telecom equipment,World,527,540,612,566,577,503,
Malta,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,15,17,17,18,16,15,
Malta,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,10,7,15,12,21,17,
Malta,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,501,515,579,536,539,471,
Malta,SI3_AGG - MAMTTE - Transport equipment,World,190,148,141,211,194,136,
Malta,SI3_AGG - MAMTAU - Automotive products,World,27,13,4,2,3,7,
Malta,SI3_AGG - MATE - Textiles,World,30,37,37,33,37,44,
Malta,SI3_AGG - MACL - Clothing,World,9,8,17,27,25,15,
Marshall Islands,SI3_AGG - TO - Total merchandise,World,36,40,41,55,44,46,43
Mauritania,SI3_AGG - TO - Total merchandise,World,1623,1989,2052,2266,2829,3267,3203
Mauritania,SI3_AGG - AG - Agricultural products,World,629,852,1102,1142,823,848,
Mauritania,SI3_AGG - AGFO - Food,World,629,851,1101,1141,823,848,
Mauritania,SI3_AGG - MI - Fuels and mining products,World,689,816,738,1099,1209,2068,
Mauritania,SI3_AGG - MIFU - Fuels,World,,,,,10,10,
Mauritania,SI3_AGG - MA - Manufactures,World,2,9,11,26,58,27,
Mauritania,SI3_AGG - MAIS - Iron and steel,World,0,1,0,0,0,1,
Mauritania,SI3_AGG - MACH - Chemicals,World,2,8,10,25,33,4,
Mauritania,SI3_AGG - MACHPH - Pharmaceuticals,World,0,,0,0,0,0,
Mauritania,SI3_AGG - MAMT - Machinery and transport equipment,World,,,,,19,13,
Mauritania,SI3_AGG - MAMTOF - Office and telecom equipment,World,,,,,1,0,
Mauritania,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,,,,,0,0,
Mauritania,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,,,,,1,0,
Mauritania,SI3_AGG - MAMTTE - Transport equipment,World,,,,,5,2,
Mauritania,SI3_AGG - MAMTAU - Automotive products,World,,,,,1,1,
Mauritania,SI3_AGG - MATE - Textiles,World,0,0,0,0,0,1,
Mauritania,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,0,
Mauritius,SI3_AGG - TO - Total merchandise,World,2359,2342,2366,2223,1789,1962,2301
Mauritius,SI3_AGG - AG - Agricultural products,World,824,847,740,704,631,610,
Mauritius,SI3_AGG - AGFO - Food,World,800,822,719,681,612,588,
Mauritius,SI3_AGG - MI - Fuels and mining products,World,44,41,35,37,37,54,
Mauritius,SI3_AGG - MIFU - Fuels,World,33,33,22,18,4,0,
Mauritius,SI3_AGG - MA - Manufactures,World,1318,1191,1205,1133,871,1007,
Mauritius,SI3_AGG - MAIS - Iron and steel,World,2,4,1,1,2,1,
Mauritius,SI3_AGG - MACH - Chemicals,World,93,94,96,86,80,84,
Mauritius,SI3_AGG - MACHPH - Pharmaceuticals,World,33,34,35,32,25,35,
Mauritius,SI3_AGG - MAMT - Machinery and transport equipment,World,173,105,81,71,63,67,
Mauritius,SI3_AGG - MAMTOF - Office and telecom equipment,World,119,40,50,32,19,16,
Mauritius,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,10,6,7,10,6,5,
Mauritius,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,110,32,41,20,12,10,
Mauritius,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,2,2,3,2,1,
Mauritius,SI3_AGG - MAMTTE - Transport equipment,World,23,30,12,15,13,27,
Mauritius,SI3_AGG - MAMTAU - Automotive products,World,3,3,2,2,3,2,
Mauritius,SI3_AGG - MATE - Textiles,World,102,111,111,130,117,135,
Mauritius,SI3_AGG - MACL - Clothing,World,659,608,620,549,395,415,
Mexico,SI3_AGG - TO - Total merchandise,World,373948,409433,450713,460604,417171,494765,578193
Mexico,SI3_AGG - AG - Agricultural products,World,29846,33704,35753,38238,39788,46712,
Mexico,SI3_AGG - AGFO - Food,World,28202,31656,33629,36148,37813,42238,
