Reporting_Economy,ProductSector,Partner_Economy,2016,2017,2018,2019,2020,2021,2022
"Aruba, the Netherlands with respect to",SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,0,0,
"Aruba, the Netherlands with respect to",SI3_AGG - MACH - Chemicals,World,4,6,6,8,5,5,
"Aruba, the Netherlands with respect to",SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMT - Machinery and transport equipment,World,7,6,6,9,4,5,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOF - Office and telecom equipment,World,1,1,1,1,1,1,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,0,0,1,0,0,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,1,0,0,0,0,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTTE - Transport equipment,World,3,2,3,3,1,2,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTAU - Automotive products,World,1,1,2,1,1,1,
"Aruba, the Netherlands with respect to",SI3_AGG - MATE - Textiles,World,0,0,0,0,0,0,
"Aruba, the Netherlands with respect to",SI3_AGG - MACL - Clothing,World,1,0,1,1,0,1,
Asia,SI3_AGG - TO - Total merchandise,World,5758485,6381627,6902451,6773317,6681739,8500452,9121284
Asia-Pacific Economic Cooperation (APEC),SI3_AGG - TO - Total merchandise,World,7981286,8809551,9586387,9406776,8963507,11363440,12424914
Association of Southeast Asian Nations (ASEAN),SI3_AGG - TO - Total merchandise,World,1144016,1316348,1445973,1423179,1385880,1724054,1961546
Australia,SI3_AGG - TO - Total merchandise,World,192505,231131,257098,271005,250823,344864,412184
Australia,SI3_AGG - AG - Agricultural products,World,33828,42118,36472,35184,31427,46716,
Australia,SI3_AGG - AGFO - Food,World,27823,32381,29927,29497,27925,37975,
Australia,SI3_AGG - MI - Fuels and mining products,World,112245,142277,170951,184308,169108,241301,
Australia,SI3_AGG - MIFU - Fuels,World,50414,69890,91080,87819,61251,94765,
Australia,SI3_AGG - MA - Manufactures,World,25986,27029,28677,29651,25922,28107,
Australia,SI3_AGG - MAIS - Iron and steel,World,450,704,766,811,630,597,
Australia,SI3_AGG - MACH - Chemicals,World,6243,6625,7808,8287,7653,7575,
Australia,SI3_AGG - MACHPH - Pharmaceuticals,World,2593,2663,3534,4340,3821,2722,
Australia,SI3_AGG - MAMT - Machinery and transport equipment,World,11523,11241,11449,11827,10149,11139,
Australia,SI3_AGG - MAMTOF - Office and telecom equipment,World,2589,2666,2671,3034,2639,3029,
Australia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1167,1082,1108,1107,1015,1216,
Australia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1290,1403,1349,1720,1436,1574,
